feature,index
PN=conferences,3345
the-342,23734
also-reported,17052
the-contrast,23869
both-narco,17590
"rica-,",20628
the-carter,9830
PN=carly,12411
your-doctor,15355
your-family,3683
new-opportunities,14114
"JJR-,",437
JJR-.,12697
shortstop-and,21291
PN=lincoln,10551
double-standard,9206
PN=parties,7939
FN=regulators,17254
your-vagina,22050
pace-thereafter,5638
base-unified,5373
FN=conflicting,26438
bill-on,16874
ve-given,10433
FN=alabama,1146
the-purported,20730
and-sliding,20558
very-strong,5444
only-problem,481
part--,9677
a-real,22629
FN=bunting,10499
PN=physician,21038
WRB-NNS,11332
scammed-them,16372
ve-employed,4916
WRB-NNP,5176
changing-clothes,26536
FN=morning,12456
ethan-couch,21938
have-you,1906
traumatic-start,1299
FN=spirit,716
day-(,15234
FN=sydney,10710
allowing-his,6491
bring-them,4046
PN=parks,8388
big-problem,11692
really-looks,4850
day-6,27741
PN=specialists,13611
was-good,14877
tune-him,22516
leaning-state,3525
thanksgiving-time,14541
t-wander,20900
see-heroes,9778
FN=adjectives,23463
this-later,21542
would-talk,8684
dining-on,21917
FN=red,17959
of-jihadists,2594
things-hurt,22096
yourself-to,20675
PV=heating,4293
they-would,6606
lott-is,14650
politics-today,5569
PN=sun,18157
lifeless-child,26219
PN=kate,20199
FN=press,3342
PN=east,17077
a-speech,5629
day-leave,8653
FN=treatment,6546
a-peaceful,13398
FN=holm,17148
the-arkansas,893
PV=allowed,4169
WP-NNP,3774
WP-NNS,14074
mohammed-',25850
FN=holt,9983
become-the,8927
great-shock,1277
counter-those,4929
PV=lined,10392
the-fair,24140
the-hall,6255
pointing-out,11792
there-trying,12680
the-half,3453
microsoft-at,22305
not-end,11233
people-concerned,15265
mass-shooting,21825
PN=kinderhook,24717
travel-dates,27588
PN=reservations,1269
the-ssa,17537
PN=delisting,22418
FN=earthquake,20919
ever-telling,22401
FN=ceosummit,7130
VBD-CD,1645
itself-back,19786
FN=doors,13476
a-group,2158
preliminary-exit,14389
FN=victims,171
its-way,15620
demonstrators-took,2214
s-launch,18656
"extreme-,",7950
that-visit,19270
"trepidation-,",12051
all-sectors,515
eight-era,4165
PRP-TO,1477
are-rolling,23623
evidence-in,16312
the-paris,801
growing-trend,13317
may-be,7318
officials-say,6406
deportations-.,11357
s-strength,13114
PV=hung,14243
"mossyrock-,",5852
the-means,2499
in-video,13546
the-kentucky,7618
guinness-said,21139
PV=key,13698
decorated-father,4873
PV=poll,13053
FN=production,26825
PN=governments,25629
her-email,4272
hijacked-planes,26578
young-guy,20155
of-cubans,12842
trouble-but,4986
with-help,16336
prevent-them,2536
make-art,10652
incredibly-passionate,16230
have-gotten,25735
accusations-that,23936
david-petraeus,25667
s-fleeing,251
first-copy,9346
months-ago,4342
FN=refugee,207
PN=spectrum,7767
herpes-and,15989
",-their",12145
PV=including,4433
north-africa,26291
opposed-to,17832
that-wandered,24737
reportedly-wanted,6528
FN=baltimore,724
FN=salah,12288
PN=ceiling,9000
PV=reverend,15103
are-also,26379
the-corrupt,8829
basically-saying,22732
the-grace,17350
"prayers-,",8602
is-allowed,23724
very-specifically,10909
FN=masks,13876
multiple-ways,13663
then-hiding,24734
FN=scientology,24388
be-there,5065
FN=serbia,6409
FN=jeb,2983
PV=writing,3966
his-new,6065
FN=society,12792
FN=jet,10703
PV=travel,1622
t-iran,11895
FN=supervision,22664
how-it,14677
VBZ-CC,13693
VBZ-CD,4571
PV=passed,2661
he-wrote,9664
PN=search,5829
.....-talk,20349
risk-.,19699
it-because,24464
prioritize-allowing,231
PV=passes,18479
PN=everything,5620
his-death,22989
FN=shows,14153
new-firestorm,25144
15-percent,9536
two-of,27571
talked-down,22658
had-fight,25597
attendance-but,10321
construction-in,6865
has-moved,5301
PV=lanes,19710
PN=disrespect,19521
PV=loaded,27198
muir-reports,16952
on-their,24772
a-debate,808
not-acting,22707
be-with,10883
best-enterprise,17099
",-got",25817
PN=life,1221
my-parents,20821
",-stopped",23126
her-than,3463
iconic-moments,1826
FN=backwards,7947
PN=lift,26180
s-frightening,19533
of-australia,27190
anyway-so,20618
wait-to,9516
the-supply,7439
the-trump,11745
"continue-,",23968
those-eyewear,15357
FN=forever,12135
FN=helmand,5184
watching-it,25915
his-troubled,13719
the-sanders,5297
m-fight,19175
hair-revealed,9939
punishing-sanctions,8845
FN=microsoft,22304
FN=foods,15189
trump-when,7878
be-looked,3240
he-allegedly,16264
PN=drawn,25769
ever-played,12160
the-remaining,20864
FN=voice,2348
moons-seen,18563
FN=fight,4657
s-concerned,19683
transfixing-power,20913
background-check,20587
FN=members,796
the-interrogation,15573
rising-tensions,25492
PN=kinds,3909
nashville-in,7698
carly-fiorina,12413
since-april,12222
FN=court,1249
FN=emissions,6984
PN=votes,2850
the-midst,13269
FN=script,11096
their-caliphate,2600
a-pope,12938
arms-appear,18243
an-armageddon,388
the-party,5277
FN=kohl,26491
"fans-,",21280
over-parts,12520
their-sexuality,13942
FN=credit,5687
therapeutic-daycare,1016
PN=ambulance,8455
for-arrivals,27586
NNP-IN,114
VB-TO,885
exposed-;,9629
renting-for,7519
rights-act,22628
WRB-PRP,2007
CD-PRP,1667
PV=rushing,18804
FN=kirk,18849
the-holidays,25743
an-attorney,20395
a-smile,10396
the-procedural,22919
were-adopted,5845
every-big,24941
(-IN,7415
DT-WRB,19894
FN=personnel,9379
men-sleep,2149
to-following,27031
buying-drugs,21729
macy-',11388
PN=interest,5664
growing-firestorm,24313
doesn-',15940
it-back,4139
look-for,5977
NNS-JJ,1010
a-jack,18298
FN=lawless,1587
hour-talkathon,2838
FN=support,3106
the-personal,21983
PN=mcnulty,1458
just-laid,24500
see-voting,11125
then-fairly,8245
PN=neighborhood,27187
"""---",23165
lovelock-correctional,18966
the-miraculous,21887
FN=surface,14383
ambulances-driving,22373
running-from,19580
the-neighboring,25124
FN=cheerios,19772
the-basis,5581
hand-deep,10412
a-student,11689
PV=hatch,17616
FN=call,6281
FN=calm,21371
be-integrated,9293
an-individual,12773
today-to,26607
the-scandal,19222
PN=farewell,22718
PN=gran,26799
imperfect-bill,2675
during-christmas,24002
think-look,12191
many-fronts,9085
theaters-like,20916
what-was,15955
three-gunmen,23135
the-moon,18150
camera-.,16099
"camera-,",8193
FN=cupertino,6869
PN=farmers,7108
stadium-is,14975
---get,24963
her-storytelling,6710
PN=bachelor,68
terrorists-and,13469
PV=announced,22453
"attention-,",9178
a-few,1113
staffers-bitter,22272
"food-,",14510
inside-my,15467
terrorists-going,19051
harrises-went,26959
one-couple,13503
was-struck,12210
PV=directives,19350
an-unending,24474
a-corset,11019
this-process,11864
systematic-march,16521
exhibition-coincides,21682
FN=anger,9191
FN=aesthetics,10632
that-low,25795
with-you,13497
NNP-DT,734
airstrikes-on,23287
FN=substance,3499
FN=netanyahu,3123
the-press,3780
the-stadium,12330
you-run,12747
PN=talks,8758
be-disciplined,7148
britain-went,27076
his-gruesome,13746
is-visiting,15289
david-kerley,20548
PV=remembers,6321
close-it,12169
PV=imaged,18584
JJS-$,20997
our-years,26470
PN=fire,4715
JJS-.,15806
PN=firm,7560
a-90,3864
PN=decades,5055
",-drowning",22488
PN=stripes,18193
example-is,15460
JJS-:,17051
that-category,19316
PN=encounter,8354
stanley-bought,8263
FN=bataclan,6619
liam-(@,23731
is-right,3382
to-open,21225
been-enthusiastic,23627
handcuffs-were,19671
one-million,5861
is-doing,12049
be-controlled,11080
instantly-recognized,20293
the-ice,15385
football-game,7603
an-ad,25488
fly-directly,24639
FN=emergency,12322
ten-times,17842
FN=messages,4031
PN=spell,23991
the-crowds,20234
bus-quite,21104
a-2014,26246
a-2011,21725
but-check,15348
PV=spearheaded,23578
biden-',5607
FN=pointing,7871
just-got,21936
my-position,3715
spot-reserved,10010
FN=herculean,22937
inauguration-day,17031
specific-question,20688
dry-eye,25311
FN=story,619
FN=store,6131
PN=citizenship,25507
FN=storm,15278
FN=province,2557
people-are,22574
PV=inflamed,19233
microphone-still,8197
PV=accounts,17489
officers-deployed,11217
FN=seong,5895
i-apologized,4346
the-outer,23061
FN=ssa,17536
him-lot,26480
"simple-,",23959
PN=ships,21593
PN=broker,12860
least-everybody,20259
worked-on,17216
PV=dry,22061
the-nicaraguan,13451
barbie-.,16175
around-the,8608
FN=hi,4636
FN=hd,24875
police-shelf,16282
FN=duty,5782
us-for,10884
the-foreign,12453
):-across,9956
candidate-falls,7765
top-of,2396
PN=nerves,13304
june-2,15734
PV=says,7917
june-7,18638
FN=path,4261
"june-,",21288
june-.,2796
the-third,15672
FN=reservation,10067
laura-mattia,21055
obama-hopes,6895
someone-did,9498
game-happened,12157
of-12,26076
of-10,13234
numerous-occasions,3445
FN=lifestyle,20692
a-parade,11448
.-confirmed,6782
the-existence,20579
morning-here,12838
conduct-an,8531
other-founders,25168
been-closed,19961
FN=gary,17300
FN=thanksgiving,14100
PV=enjoyed,19788
both-theme,8387
FN=speaking,15520
FN=bike,11086
but-any,5491
FN=notoriety,11370
FN=success,6971
FN=opponent,24433
PV=related,1082
endorphins-are,24768
FN=stressors,6474
JJ-PRP,10328
PN=dialogue,5741
protests-.,2211
expectation-is,10891
fall-2012,1268
PV=foam,10672
FN=mountaineer,21929
PN=principal,627
PN=credit,2338
the-indianapolis,3835
PN=limits,8805
11-hours,4751
PN=ticket,9017
PN=iraq,6778
PN=iran,6747
"enrichment-,",12219
FN=fairness,4340
a-million,18152
parents-who,3824
PN=foam,10601
PN=hardison,27202
PV=drill,12531
before-and,18876
of-rag,22987
it-.”,14143
estate-developers,8121
that-cars,26820
your-investigation,19364
PN=majority,12226
”-—,7961
only-last,18136
american-officials,23240
"had-,",19194
people-returning,16035
happen-.,5135
balliol-college,63
PN=backlash,11110
"treatment-,",6547
treatment-.,6553
the-synar,26404
comes-down,8552
the-fight,4658
PN=center,1815
that-tax,9164
PV=attend,18829
counterterrorism-officers,17694
sagacity-to,6661
FN=eulogy,24100
stadiums-and,17671
seventy-percent,8861
VBG-RBR,11179
laughter-aloe,23543
s-finals,11803
"mind-,",1505
mind-.,6210
ideal-platform,7300
FN=restraints,8308
to-argue,7876
was-evacuated,23290
",-take",24076
washington-a,733
WP-CC,9551
and-like,25710
her-gracefulness,26067
the-gloves,18943
welders-make,15792
scratch-that,25177
PV=bottomed,21375
PN=shimmers,18510
reporters-.,7848
PN=ceremony,4949
the-seizure,8833
the-years,882
FN=occasions,3444
4th-of,19344
FN=rafael,27383
is-becoming,22566
FN=depth,15097
washington-',4017
"washington-,",1766
"walker-,",25300
FN=militants,12507
spurred-what,25807
",-networks",11382
to-nominate,25205
i-get,15106
where-we,3201
PV=having,5467
FN=folks,3317
PN=teachings,12969
PV=indicate,9354
cleveland-as,2259
has-pushed,7014
horseracing-.,25316
overnight-hunting,13468
the-chances,8849
PV=imagining,13869
conflating-loss,23458
insisting-that,26507
change-anything,13560
illegal-immigrants,11751
other-governments,20333
no-smoking,3438
reach-parker,5959
FN=bergdahl,4568
birdhouse-plans,25984
ancient-city,2457
are-aimed,16173
congress-has,19420
she-missed,6225
and-served,9856
two-days,7183
50-or,9462
5-times,18357
a-police,19720
PN=business,1361
is-integrated,24547
tide-shifted,3709
10-years,16198
new-initiatives,21905
those-circumstances,25328
great-group,7178
"eyelids-,",27210
PV=stripped,17945
FN=hungary,6418
PN=keg,12056
well-planned,26009
the-firing,12096
he-presided,23188
FN=bob,15083
and-always,20626
PV=increased,24426
FN=box,10481
FN=boy,13948
s-bring,13683
FN=bow,20832
PV=signing,14361
go---,5306
harper-lee,9269
PN=movie,21172
candidates-are,7758
he-strayed,24010
FN=teachers,23191
launch-an,6754
that-outlook,15760
PN=body,6685
to-provide,16831
really-hard,17457
the-brash,4325
his-team,21309
PV=.....,7112
4-a,23352
botched-execution,3556
PRP$-NNS,320
FN=search,8104
been-played,17307
be-related,1083
PN=qaeda,1881
aide-blurred,18828
most-americans,22376
FN=age,821
democratic-nomination,10026
would-go,9578
of-territory,10920
brain-dead,25399
places-of,27089
making-sure,693
PV=gone,3962
a-tremendous,23771
the-violence,6353
of-conspiring,19285
about-eric,17331
PN=group,1144
DT-VBP,5981
follow-up,2539
before-signing,14362
):-harper,23880
mortgage-interest,7365
our-poll,24947
his-meeting,23087
continued-fallout,21907
in-korea,5785
PN=shredder,22249
getting-lost,6849
PN=clothing,23103
PV=brought,5097
sometimes-coming,21490
afghanistan-after,27128
their-time,3478
FN=sheen,14602
the-candidate,4663
FN=portfolio,657
PN=groceries,20986
---with,3695
PN=convention,10027
the-transcripts,6720
debt-actually,21006
FN=jacksonville,4622
walks-right,21575
lonnie-anderson,6114
me-and,3688
PN=crowds,9659
PN=guinness,21141
or-suspended,7233
his-rivals,22490
PN=deals,4507
he-talks,10538
specific-weekend,14937
guard-faints,27764
50-states,6601
has-there,19018
grow-skin,24629
these-issues,3377
this-you,26526
FN=photo,5916
PN=people,1067
becoming-a,11915
PN=equals,15246
have-resigned,26041
penalty-kick,11810
PV=build,6897
centre-court,27639
FN=singer,10179
PV=converted,11328
they-summoned,16412
what-actually,21996
PV=built,18318
through-ahead,7915
FN=supernova,18705
PN=wash,21885
that-shopping,17712
we-met,14020
FN=songs,22347
their-conflicting,26439
matthew-found,8270
the-perfect,1227
might-hear,15772
PN=helpers,22234
“-everything,8172
his-recent,19260
a-gunman,16474
him-slipping,4329
living-paycheck,22515
least-25,14828
be-looking,19328
",-perhaps",7343
PN=fun,11671
the-problems,4687
FN=summer,1037
nothing-medical,8740
PV=gaining,2573
the-cracks,19341
of-control,25506
FN=honor,8020
"titan-,",18312
falling-into,14409
PN=laws,24358
through-serbia,6412
PN=lawn,22255
age-40,24760
and-stealing,25643
turn-him,11300
MD-RB,4965
important-thing,9456
shape-up,3836
his-head,23230
PN=area,2601
several-aides,7792
who-tried,761
said-saturday,26115
respond-to,2317
federal-law,26149
does-get,25879
PN=association,27096
FN=tumbles,25514
"alma-,",18599
was-sent,5748
PN=rica,13367
just-gone,3963
PV=screened,727
the-crossroads,21191
nursery-hidden,18719
PN=diet,15204
military-recruiting,19353
across-always,13187
milt-pliing,8580
give-but,10407
PN=sand,17621
you-were,11619
PN=editor,3244
course-we,3823
igor-chekalin,18698
a-galaxy,18612
PN=retirement,1527
"raqqa-,",13526
re-able,9420
WDT-PRP$,19225
"again-,",14447
again-.,12015
type-them,11108
a-lifeboat,14408
PV=reckon,20014
on-crisis,25595
a-report,6818
the-federal,5636
former-governor,2904
PV=stay,11729
the-electable,25882
take-seriously,9690
young-daughters,1219
PN=memory,169
---tapping,9650
politicking-.,9617
",-slid",27013
know-where,3067
they-started,26334
a-sense,24697
PN=pipe,16105
FN=faa,20553
FN=fan,23380
their-positions,27808
and-showtime,27313
ve-taken,6424
PV=furnished,11045
kenyon-these,21533
PN=century,6024
debate-based,12464
typically-used,6937
FN=statistics,433
to-putting,17366
fulfilling-prophecy,9535
FN=chips,13672
jennings-pulled,21935
"monroeville-,",9344
PV=fail,524
it-sell,20237
a-scale,14012
in-balloting,19613
PN=extending,18240
PN=load,15231
freedom-we,3363
PN=loan,25991
a-radio,13385
making-up,4156
FN=millions,24119
illegal-gambling,14687
FN=chance,20607
FN=ear,27445
the-road,4337
PN=families,12881
PN=lfl,13907
atlanta-two,17469
thank-goodness,15954
discover-cards,21231
PV=identify,16318
FN=mosul,16582
PN=attackers,13854
debates-and,3482
ideology-continues,2587
PN=steal,14513
the-resignat,19082
"DT-,",2082
syrian-refugees,227
FN=noon,4092
is-but,13692
making-them,4418
PV=serving,3176
PV=geared,4162
PN=deportations,11343
cassini-saturn,18564
any-great,26696
the-blood,25917
speaking-at,13085
FN=mortaza,13986
forgotten-.,19188
international-lobbying,6969
then-run,13594
am-doing,15047
admit-that,5599
and-just,19751
"college-,",24854
a-struggle,8918
less-space,14970
your-exact,15331
they-moved,26650
FN=crime,3519
FN=damage,26960
were-equipped,16687
lengthy-appeals,3612
a-resounding,24443
of-powers,26475
"afghan-,",2599
s-egregious,11754
PV=driving,21988
PV=stays,23057
FN=effort,7000
--fashioned,11054
cooker-bomb,24021
turkey-across,6344
PN=tries,14217
that-travel,12356
PV=stopped,20894
funding-the,25598
PV=collapsing,27196
francis-arrives,12900
PV=joining,1892
yard-?”,26681
sum-it,6191
formal-consultation,26148
online-calling,13460
they-celebrated,8274
serving-as,24908
)-2015,6632
williams-lives,6012
PN=health,8415
that-companies,26156
PN=electric,10204
just-about,5223
and-integration,26694
PN=relationships,8877
pounce-.,11393
loan-debts,25993
FN=alli,19057
in-wisconsin,6016
PN=tone,5441
man-he,9238
may-sound,8925
on-police,2333
re-blinking,21463
and-raised,6008
PN=revenue,14032
PN=allusions,10528
been-obtained,19676
FN=suspects,13800
facebook-message,5875
a-washington,22257
police-put,12298
little-chaotic,15008
",-NNPS",25458
the-roadway,21955
to-this,3630
general-motors,21845
s-something,3473
"custody-,",26888
"promise-,",11557
jump-into,2933
these-places,5231
",-hispanics",11513
PN=viewers,7296
PV=thinking,4159
of-afghanistan,24685
now-all,8710
PV=erupted,8390
charges-filed,16208
VBN-RP,956
PN=tier,3282
PN=ties,13422
FN=dorm,15163
PV=channeling,24277
FN=email,4271
VBN-RB,3936
remarkably-consistent,6652
of-emergency,18810
PV=raises,5396
new-message,23868
loved-ones,27107
that-benghazi,5360
my-wife,10748
PV=raised,1746
"families-,",20110
families-.,6568
must-be,10079
PN=balance,3033
ahead-of,7914
clinton-administration,36
of-israel,16783
and-shipped,6402
fact-killed,13532
henry-holt,9984
davis-was,25741
mccarthy-',25594
scientology-founder,22287
the-great,3996
FN=equity,7356
.-WP,23114
PV=plotted,23183
mccarthy-;,27161
the-indiana,18841
him-fight,17373
:-if,25219
the-challenges,5237
PN=degree,52
territory-in,10919
PN=moon,18149
martin-o,22630
PV=dare,9725
doing-jobs,5022
reporting-the,18058
PV=claims,26529
or-inside,16279
points-drafted,23631
crazy-possible,22102
oncoming-traffic,21577
death-.,3583
fundraising-.,5487
"catherine-,",27657
catholic-teachings,12988
former-u,2770
to-pay,7471
PN=advance,7777
sound-the,6738
against-guys,23680
been-connected,6832
here-it,15009
PN=machetes,17604
these-health,4468
both-greece,12024
diverted-flights,24456
atticus-finch,9211
PN=regions,18295
his-great,22606
PN=sectors,514
here-in,12845
PN=horse,25224
it-came,1274
got-pictures,9622
be-prosecuted,23518
ditching-sweetened,15233
FN=abdeslam,12289
FN=honors,3797
human-activity,23841
me-died,21212
rep-.,21733
they-spoke,13824
my-twenties,6671
PN=york,14874
savannah-but,19023
PV=permitted,9572
her-special,926
FN=field,3170
a-temporary,12028
irvine-/,18537
threaten-you,10806
candidates-want,230
"fight-""",23252
an-egg,18795
the-kardashians,6305
PV=scarlet,16021
FN=freeway,8507
FN=superstar,6067
focus-ought,234
FN=rookies,21297
that-yet,8271
FN=eating,26634
a-genuine,19132
PN=ca,7923
white-southerners,9295
attackers-coming,26923
rubio-pointed,24475
PN=farm,24798
asking-him,5807
its-origins,10880
here-going,12250
you-carry,14923
did-that,15361
PN=ins,17980
PV=staked,8851
keep-refugees,311
not-being,19553
PN=snafu,22910
FN=size,24305
PN=use,2238
FN=muhammad,19255
only-purpose,9614
is-looking,13344
some-reports,17488
VBP-VB,9479
"day-,",12579
FN=surgeries,23073
PN=reputation,528
FN=kentucky,7604
hillary-is,13156
you-going,4552
JJ-VB,3204
defend-itself,8943
supernova-tore,18709
been-beheaded,13765
FN=lori,24608
FN=herpes,15988
FN=tens,9413
day-9,27751
grow-.,2588
further-evaluate,7302
world-war,10017
JJ-NNPS,2775
FN=businesses,16142
home-we,1255
PN=brand,19523
presence-here,4932
JJR-JJ,11067
PV=placing,13621
their-loans,21016
political-history,9303
PN=bureaus,24565
PN=profile,21898
PN=era,4166
republique-empty,20528
pass-muster,11939
and-tell,26210
going-on,3884
moved-back,20820
the-conclusion,10150
the-greater,17939
to-begin,5489
you-wrote,6123
from-cancer,6337
as-well,9204
PN=norms,14169
jake-seemed,1432
PN=bucks,13336
PN=south,5749
",-lawrence",22137
FN=reaction,9802
FN=byron,7582
one-piece,12243
PV=filled,13551
you-saw,16671
you-say,3665
PN=carts,19013
been-buffeted,14338
flesh-out,13042
that-service,16454
local-targets,16562
FN=policies,24267
joins-us,23945
city-talking,19083
"matters-,",12768
FN=pleasures,21396
an-important,11126
compliance-inspections,14298
PN=groups,4958
PV=outraged,2241
PN=children,1005
PN=pretty,27354
kayak-just,20717
FN=havana,12839
the-collar,26644
FN=kim,25156
FN=vote,4756
separate-investigation,20778
think-about,2037
PV=founding,10533
FN=umbrella,21993
FN=kit,16303
a-governor,2992
them-quiet,14576
is-fed,20390
say-something,6096
after-isis,27180
FN=candice,331
FN=angles,25280
very-optimistic,3200
a-permanent,8850
different-targets,16032
enthusiasm-and,11766
the-america,10523
FN=cancer,6334
hey-tj,20252
FN=olivia,26484
FN=rocky,10257
PN=final,18764
of-we,15774
sheen-entered,14603
the-northwest,15259
dozen-seats,26583
of-attention,16790
PN=boston,3659
a-string,838
certainly-not,5110
PV=fell,10779
PN=site,6046
FN=americans,3308
PV=felt,6034
a-player,25905
FN=draft,19200
trip-began,12852
the-employees,14560
PV=flashed,24689
sometimes-hurts,22101
these-horrific,17159
"weak-,",4400
weak-.,20093
FN=atlanta,17468
"kickoff-,",15720
PN=winter,18445
FN=sandia,24339
a-search,26008
had-crossed,26342
"refugee-,",26343
"childbirth-,",22069
also-makes,24761
already-talking,17142
the-“,10078
that-come,23858
FN=meaningless,21623
"senate-,",13184
the-bengals,23910
FN=precaution,15717
"shim-,",19902
PV=worsen,26640
take-it,7099
take-is,2365
take-in,221
FN=conditions,418
PN=ray,24877
our-countries,8926
of-standing,24217
FN=loretta,24236
is-one,4570
PN=clouds,18581
PV=involves,14663
am-here,15416
—-produced,18880
PV=involved,4841
PN=presentation,6366
the-walls,22319
PV=telecommuted,26502
and-on,17286
PV=created,6367
restaurants-all,2109
broke-up,20968
PN=link,6563
to-develop,22617
PN=argentina,19036
that-goes,23215
PN=line,687
PV=creates,14151
a-xmas,13791
are-ahead,11656
obtaining-an,26678
PN=versions,26194
FN=abandonment,1290
1996-interview,18917
FN=chair,4626
a-parent,6556
endless-lines,11983
its-4,14837
PN=honors,17083
FN=chain,15316
gabby-went,7626
PN=assurance,19947
receiving-it,24214
region-;,16755
person-ever,3468
least-at,12711
PN=news,366
deal-with,923
them-are,5020
specific-companies,618
PN=cat,27447
PN=car,2444
PN=joshbhaskell,7853
RB-WP,17153
getting-to,13886
FN=wealth,10088
PV=thrilled,13878
PN=voice,1723
kim-davis,25158
deep-waters,23687
to-show,14482
becoming-more,11178
PV=spit,20907
to-shop,19027
what-he,3971
boosts-margins,540
JJ-VBD,2520
JJ-VBG,471
employed-any,8036
north-vietnam,19157
the-conscience,9249
JJ-VBN,864
JJ-VBP,4488
catapulted-back,6178
imperial-champagne,27680
PN=continental,10552
on-account,1390
announcement-comes,17948
important-figure,12775
money-in,17443
and-prevent,22112
us-so,15623
for-cars,26817
advisory-firm,7561
PN=universe,18748
the-candidates,11723
FN=course,2046
someone-flying,27328
PV=caused,22015
humanity-and,23347
FN=locations,16678
the-resources,5833
model-.,26413
the-disconnect,12628
that-in,22569
material-to,5262
that-if,19488
PN=mortar,15325
that-is,22651
that-it,17422
PN=street,10314
main-steet,14555
the-pseudonym,21707
was-doubts,5354
"country-,",1675
net-.,15018
PV=fueled,20365
liked-working,20827
a-dinner,10253
plays-hockey,27695
PN=family,880
the-negotiating,8848
PN=backlog,16314
about-10,20656
israeli-troops,7120
one-come,20604
well-.,2093
",-put",22582
a-cyber,19304
30-dead,24227
FN=garden,27754
PV=pray,1155
was-created,18405
to-tell,3801
people-sitting,20522
opening-up,8874
a-little,7038
use-that,26248
restaurant-tables,20537
finding-the,24602
FN=opportunities,14113
FN=turkey,6343
be-migrants,13419
FN=marcia,2255
an-italian,23166
PN=medium,17903
PV=imperiled,22755
the-group,25777
the-cope,1899
trump-',12437
PV=rented,12286
could-be,23218
"trump-,",5458
trump-.,7803
happen-all,15912
pretty-viciously,23759
having-contact,24199
trump-?,7781
the-scary,15085
filed-reports,17092
the-rest,2786
PN=atmosphere,17897
CC-PDT,22742
young-voters,24180
social-questions,21279
his-message,11715
FN=harvard,25046
williams-shortly,26627
PN=missiles,12517
the-scarf,9931
PN=pleasure,9904
FN=coverage,9538
how-to,10988
equip-forces,10889
of-running,14109
the-cycle,26601
very-frustrated,15768
basic-needs,1091
he-pulled,26604
greets-guests,8336
next-year,2497
on-cnn,12618
PN=evidence,2571
PN=demonstrators,2212
will-fight,22888
clark-died,19669
can-be,23459
important-well,26056
for-decades,5056
so-called,13352
about-income,21153
CC-RB,1937
heard-all,27409
doing-anything,15005
on-defense,16701
who-participated,6815
FN=nachos,17140
):-messages,4032
victims-right,3669
see-how,6678
s-advice,5692
"of-""",24871
PV=yelled,25756
PN=tweeting,7731
"gains-,",2467
individuals-hoping,6591
